project_id,mibig_number,link_type,ms2_filename,ms2_local_path,genome_label,genome_accession,genome_fasta_path,genome_gbk_path,fasta_error,gbk_error
944b1725-47e2-4f4f-8d57-40fbf9dc4282,BGC0000433,single molecule,Bsub_wt_3.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/944b1725-47e2-4f4f-8d57-40fbf9dc4282/Bsub_wt_3.mzXML,Bacillus subtilis subsp. subtilis str. 168,NC_000964.3,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/944b1725-47e2-4f4f-8d57-40fbf9dc4282/genes/NC_000964.3.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/944b1725-47e2-4f4f-8d57-40fbf9dc4282/genes/NC_000964.3.gbk,,
944b1725-47e2-4f4f-8d57-40fbf9dc4282,BGC0000433,single molecule,Bsub_wt_2.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/944b1725-47e2-4f4f-8d57-40fbf9dc4282/Bsub_wt_2.mzXML,Bacillus subtilis subsp. subtilis str. 168,NC_000964.3,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/944b1725-47e2-4f4f-8d57-40fbf9dc4282/genes/NC_000964.3.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/944b1725-47e2-4f4f-8d57-40fbf9dc4282/genes/NC_000964.3.gbk,,
944b1725-47e2-4f4f-8d57-40fbf9dc4282,BGC0000433,single molecule,Bsub_wt_2.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/944b1725-47e2-4f4f-8d57-40fbf9dc4282/Bsub_wt_2.mzXML,Bacillus subtilis subsp. subtilis str. 168,NC_000964.3,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/944b1725-47e2-4f4f-8d57-40fbf9dc4282/genes/NC_000964.3.fasta,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/944b1725-47e2-4f4f-8d57-40fbf9dc4282/genes/NC_000964.3.gbk,,
a4837d37-1df1-4153-b365-c06841574235,,single molecule,3-FeMeOHGa.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/3-FeMeOHGa.mzXML,Nocardia araoensis NBRC 100135,BAFR00000000.1,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/genes/BAFR00000000.1.gbk,empty response (no sequence data at this accession),
a4837d37-1df1-4153-b365-c06841574235,,single molecule,29RErerun.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/29RErerun.mzXML,Nocardia takedensis NBRC 100417,NZ_BAGG00000000.1,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/genes/NZ_BAGG00000000.1.gbk,empty response (no sequence data at this accession),
a4837d37-1df1-4153-b365-c06841574235,,single molecule,52-FeMeOHGa.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/52-FeMeOHGa.mzXML,Nocardia jejuensis NBRC 103114,NZ_BDBU00000000.1,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/genes/NZ_BDBU00000000.1.gbk,empty response (no sequence data at this accession),
a4837d37-1df1-4153-b365-c06841574235,,single molecule,55-FeMeOHGa.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/55-FeMeOHGa.mzXML,Nocardia fusca NBRC 14340,NZ_BDCU00000000.1,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/genes/NZ_BDCU00000000.1.gbk,empty response (no sequence data at this accession),
a4837d37-1df1-4153-b365-c06841574235,,single molecule,57-FeMeOHGa.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/57-FeMeOHGa.mzXML,Nocardia rhamnosiphila NBRC 108938,NZ_BDCL00000000.1,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/genes/NZ_BDCL00000000.1.gbk,empty response (no sequence data at this accession),
a4837d37-1df1-4153-b365-c06841574235,,single molecule,62-FeMeOHGa.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/62-FeMeOHGa.mzXML,Nocardia vermiculata NBRC 100427,NZ_BDCA00000000.1,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/genes/NZ_BDCA00000000.1.gbk,empty response (no sequence data at this accession),
a4837d37-1df1-4153-b365-c06841574235,,single molecule,70-FeMeOHGarerun.mzXML,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/70-FeMeOHGarerun.mzXML,Nocardia gamkensis NBRC 108242,NZ_BDBM00000000.1,,/home/rosaliewang/projects/MASc-EDA/data/PoDP/verified_bgc_ms2_downloads/a4837d37-1df1-4153-b365-c06841574235/genes/NZ_BDBM00000000.1.gbk,empty response (no sequence data at this accession),
