podp_id,study_id,study_role,study_members,record_type,data_status,missing_files,file_genome,path_genome,status_genome,file_ms2_run,path_ms2_run,ms2_run_url,genome_label,genome_accession,genome_accession_type,biosample_accession,genome_publications,gnps_massive_id,gnps_task_id,sample_preparation_label,extraction_method_label,instrumentation_method_label,n_genomes_declared,metcalf_rankable
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_B3_BB3_01_6302.mzXML,SC26_Caries,SRR7448319,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_B4_BB4_01_6303.mzXML,SC27_Caries,SRR7448318,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_C5_BC5_01_6317.mzXML,SC28_Healthy,SRR7448315,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_C6_BC6_01_6318.mzXML,SC29_Healthy,SRR7448314,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_C7_BC7_01_6319.mzXML,SC30_Healthy,SRR7448308,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_B5_BB5_01_6304.mzXML,SC31_Caries,SRR7448317,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_B6_BB6_01_6305.mzXML,SC32_Caries,SRR7448316,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_C8_BC8_01_6320.mzXML,SC33_Healthy,SRR7448307,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_B7_BB7_01_6306.mzXML,SC34_Caries,SRR7448302,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,main,07be0785-0a06-49cc-b7a7-0bd82d8af58d.1,strain_pairing,incomplete,genome|ms2_run,,,absent,,,ftp://massive.ucsd.edu/MSV000081832/ccms_peak/Children%20Saliva/Plate2_C9_BC9_01_6321.mzXML,SC35_Healthy,SRR7448311,ENA_NCBI_accession,SAMN09489426,30992349,MSV000081832,,salivary metagenome,non polar,LC-MS/MS,47,True
