#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
98	specs_ms.mgf	*..*		:6275	23334	-1	0	136.11	1	0.778987	201.668	0	20812.7	32938.6	2,4,6-trimethylaniline [CCS=136.8988494873047] [M+H]+	GNPS-ION-MOBILITY-LIBRARY	temp/specs_ms.mgf98	-1	GNPS-ION-MOBILITY-LIBRARY.mgf	14552.5				6	0	1.98074	138.091	0	CCMSLIB00017432750
353	specs_ms.mgf	*..*		:17091	17091	-1	0	420.036	1	0.776455	457.908	0	123.604	17684.6	223499-30-7 [M-H]-	MSNLIB-NEGATIVE	temp/specs_ms.mgf353	-1	MSNLIB-NEGATIVE.mgf	1923.68				6	0	0.808014	419.228	0	CCMSLIB00012315475
451	specs_ms.mgf	*..*		:1678	1790	-1	0	516.299	1	0.77582	605.26	0	466421.0	13683.9	Spectral Match to Taurocholic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/specs_ms.mgf451	-1	GNPS-NIST14-MATCHES.mgf	0.472867				16	0	0.000244141	516.299	0	CCMSLIB00003136277
575	specs_ms.mgf	*..*		:2040	20503	-1	0	668.403	1	0.767812	404.838	0	171.139	29780.5	7-benzyl-11,14,20-trimethyl-16-(2-methylpropyl)-10,13-di(propan-2-yl)-17-oxa-1,5,8,11,14-pentazabicyclo[17.3.0]docosane-2,6,9,12,15,18-hexone [M-H]-	MONA	temp/specs_ms.mgf575	-1	MONA.mgf	1619.2				8	0	1.08228	667.321	0	CCMSLIB00004693103
214	specs_ms.mgf	*..*		:86707	187146	-1	0	228.123	1	0.767803	424.141	0	303.195	5372.4	1-(oxolane-2-carbonyl)piperidine-2-carboxylic acid [M+H]+	MSNLIB-POSITIVE	temp/specs_ms.mgf214	-1	MSNLIB-POSITIVE.mgf	4360.26				6	0	0.994675	229.118	0	CCMSLIB00012948549
155	specs_ms.mgf	*..*		:1	1751	-1	0	175.05	1	0.765215	210.064	0	151810.0	11581.0	quinoxaline-2-carboxylic acid M+H	GNPS-LIBRARY	temp/specs_ms.mgf155	-1	GNPS-LIBRARY.mgf	5688.33				6	0	0.995743	174.054	0	CCMSLIB00000224017
395	specs_ms.mgf	*..*		:5916	5916	-1	0	450.321	1	0.764497	639.154	0	799.575	21938.9	Glycoursodeoxycholic acid M+H	MCE-DRUG	temp/specs_ms.mgf395	-1	MCE-DRUG.mgf	0.745453				9	0	0.000335693	450.321	0	CCMSLIB00010135640
480	specs_ms.mgf	*..*		:1893	4544	-1	0	533.326	1	0.759957	602.302	0	3257750.0	23799.2	(((3a,7a,12a)-3,7,12-trihydroxy-24-oxocholan-24-yl)amino)ethanesulfonic acid M+NH4	BILELIB19	temp/specs_ms.mgf480	-1	BILELIB19.mgf	1.25887				15	0	0.000671387	533.325	0	CCMSLIB00011429876
167	specs_ms.mgf	*..*		:588	3592	-1	0	183.092	1	0.759276	462.559	0	258996.0	11900.3	Spectral Match to Harmane from NIST14 M+H	GNPS-NIST14-MATCHES	temp/specs_ms.mgf167	-1	GNPS-NIST14-MATCHES.mgf	4.66701				6	0	0.000854492	183.091	0	CCMSLIB00003138079
99	specs_ms.mgf	*..*		:6275	23334	-1	0	136.11	1	0.758708	203.697	0	20812.7	26210.7	2,4,6-trimethylaniline [CCS=136.8988494873047] [M+H]+	GNPS-ION-MOBILITY-LIBRARY	temp/specs_ms.mgf99	-1	GNPS-ION-MOBILITY-LIBRARY.mgf	14554.0				6	0	1.98094	138.091	0	CCMSLIB00017432750
187	specs_ms.mgf	*..*		:828	2926	-1	0	187.145	1	0.757825	276.042	0	3916160.0	40094.4	Spectral Match to Ile-Leu-Lys from NIST14 M+2H	GNPS-NIST14-MATCHES	temp/specs_ms.mgf187	-1	GNPS-NIST14-MATCHES.mgf	10567.9				6	0	1.97774	189.123	0	CCMSLIB00003137413
