podp_id,genome_label,genome_type,metabolomics_file,gnps_massive_id,same_experiment,slice
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_ISP2_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_ISP2_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_ISP2_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_LB_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_LB_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_LB_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_MA_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_MA_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_MA_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_PDK_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_PDK_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_PDK_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_YP_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_YP_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNS615,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNS615_YP_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_A1_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_A1_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_A1_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_MS_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_MS_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_MS_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_R5_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_R5_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_R5_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_ISP2_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_ISP2_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_ISP2_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_LB_B.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_LB_M.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_LB_E.mzXML,MSV000078847,True,unvalidated_pairs
08a05264-7f06-4821-b4ad-bfd4ecb3bd34.2,CNT302,genome,ftp://massive.ucsd.edu/MSV000078847/results/Extra%20media/CNT302_MA_B.mzXML,MSV000078847,True,unvalidated_pairs
