CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
16	264	-169.147	0.000	0.7986	0.4394	1
16	265	-169.147	0.000	0.7338	0.3944	1
16	266	-169.147	0.000	0.7970	0.5367	1
16	268	-169.147	0.000	0.7803	0.4581	1
16	279	-185.214	0.000	0.7488	0.4302	1
16	281	-187.157	0.000	0.8772	0.6159	1
16	294	-211.195	0.000	0.9212	0.5976	1
16	295	-211.195	0.000	0.8122	0.4818	1
16	296	-211.196	0.000	0.7628	0.4161	1
16	297	-211.200	0.000	0.8592	0.5117	1
16	299	-212.198	0.000	0.8888	0.4983	1
16	309	-229.204	0.000	0.8782	0.5475	1
16	310	-229.204	0.000	0.7760	0.4956	1
16	317	-241.169	0.000	0.7002	0.3179	1
17	18	-0.000	0.000	0.8285	0.4557	1
17	46	-8.913	0.000	0.7037	0.5448	1
17	134	-41.027	0.000	0.7450	0.4406	1
17	259	-169.147	0.000	0.8372	0.4360	1
17	260	-169.147	0.000	0.7177	0.3731	1
17	262	-169.147	0.000	0.7517	0.3942	1
17	263	-169.147	0.000	0.7268	0.4365	1
17	264	-169.147	0.000	0.7173	0.3221	1
17	266	-169.147	0.000	0.7873	0.4427	1
17	268	-169.147	0.000	0.7866	0.4472	1
17	281	-187.157	0.000	0.8264	0.5087	1
17	294	-211.195	0.000	0.7904	0.4786	1
17	295	-211.195	0.000	0.7951	0.4075	1
17	297	-211.201	0.000	0.8188	0.4710	1
17	299	-212.198	0.000	0.8044	0.4196	1
17	309	-229.204	0.000	0.8202	0.4249	1
17	310	-229.204	0.000	0.7169	0.4041	1
18	46	-8.913	0.000	0.7021	0.5159	1
18	134	-41.027	0.000	0.7272	0.5659	1
18	259	-169.147	0.000	0.8683	0.5796	1
18	260	-169.147	0.000	0.7189	0.4380	1
18	261	-169.147	0.000	0.7104	0.4157	1
18	262	-169.147	0.000	0.7801	0.4347	1
18	263	-169.147	0.000	0.7188	0.4396	1
18	264	-169.147	0.000	0.7649	0.4375	1
18	265	-169.147	0.000	0.7271	0.4383	1
18	266	-169.147	0.000	0.7706	0.4540	1
18	268	-169.147	0.000	0.7690	0.4061	1
18	279	-185.214	0.000	0.7221	0.4520	1
18	281	-187.157	0.000	0.8500	0.5087	1
18	294	-211.195	0.000	0.8855	0.6213	1
18	295	-211.195	0.000	0.7802	0.4542	1
18	296	-211.195	0.000	0.7395	0.4513	1
18	297	-211.200	0.000	0.8423	0.5521	1
18	299	-212.198	0.000	0.8704	0.5517	1
18	309	-229.204	0.000	0.8583	0.5591	1
18	310	-229.204	0.000	0.7415	0.4731	1
18	317	-241.169	0.000	0.7092	0.3989	1
19	20	-0.000	0.000	0.8432	0.7578	1
19	21	0.000	0.000	0.8316	0.7971	1
19	26	-0.000	0.000	0.8032	0.7231	1
19	113	-28.006	0.000	0.7679	0.6485	1
20	21	0.000	0.000	0.7696	0.7553	1
20	24	0.000	0.000	0.7371	0.6157	1
20	26	-0.000	0.000	0.7403	0.6910	1
20	65	-12.013	0.000	0.8688	0.6383	1
20	113	-28.006	0.000	0.7969	0.6443	1
20	217	-112.162	0.000	0.7931	0.5562	1
20	230	-140.193	0.000	0.8006	0.5449	1
21	22	0.000	0.000	0.7133	0.6679	1
21	25	-0.000	0.000	0.7708	0.6096	1
21	26	-0.000	0.000	0.8228	0.7548	1
21	63	-12.000	0.000	0.7854	0.7511	1
21	64	-12.000	0.000	0.7450	0.6763	1
21	74	-14.023	0.000	0.7570	0.6501	1
21	76	-14.016	0.000	0.7656	0.7187	1
21	77	-14.018	0.000	0.7782	0.7156	1
21	80	-14.022	0.000	0.7397	0.6417	1
21	81	-14.016	0.000	0.7400	0.7205	1
21	83	-14.021	0.000	0.7322	0.6833	1
