CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
451	453	8	0.7641	0.000
451	479	8	0.8573	-17.027
451	480	8	0.8345	-17.027
390	408	8	0.9262	-18.011
391	408	8	0.8755	-18.010
392	408	8	0.887	-18.011
393	408	8	0.9161	-18.010
396	408	8	0.8621	-15.995
407	408	8	0.8929	0.001
408	453	8	0.8423	-49.982
408	656	8	0.8641	-465.307
417	453	8	0.8216	-36.021
436	453	8	0.8448	-18.011
453	479	8	0.8279	-17.027
453	480	8	0.828	-17.027
390	436	8	0.8938	-49.982
392	436	8	0.8806	-49.982
393	436	8	0.8918	-49.982
417	436	8	0.8427	-18.011
436	442	8	0.8553	-2.015
436	479	8	0.8579	-35.037
436	480	8	0.8929	-35.037
357	437	8	0.8401	-71.967
390	437	8	0.8715	-49.982
391	437	8	0.9152	-49.982
392	437	8	0.8557	-49.982
393	437	8	0.8723	-49.982
407	437	8	0.8714	-31.971
418	437	8	0.8946	-18.011
437	441	8	0.8535	-2.015
437	480	8	0.8839	-35.037
390	392	8	0.8725	0.000
392	393	8	0.8502	-0.000
392	396	8	0.9023	-2.016
313	357	8	0.8228	-71.058
314	357	8	0.9168	-71.057
327	357	8	0.9049	-53.047
357	363	8	0.8346	-3.974
357	391	8	0.8718	-21.985
357	397	8	0.8297	-24.001
314	363	8	0.8354	-75.031
327	363	8	0.8619	-57.021
363	391	8	0.9064	-18.011
363	393	8	0.8479	-18.011
363	395	8	0.8722	-20.027
363	396	8	0.8346	-20.027
363	397	8	0.8561	-20.027
363	407	8	0.8912	-36.022
363	418	8	0.8654	-49.983
314	356	8	0.8805	-71.058
356	479	8	0.8173	-107.004
395	441	8	0.8798	-49.982
397	441	8	0.8465	-49.982
418	441	8	0.8339	-20.026
418	480	8	0.8331	-53.048
314	327	8	0.9169	-18.010
314	397	8	0.8432	-95.058
314	407	8	0.8794	-111.054
313	327	8	0.8748	-18.011
327	395	8	0.8408	-77.047
390	395	8	0.8582	-2.016
391	395	8	0.92	-2.015
393	395	8	0.8505	-2.015
395	396	8	0.8406	0.000
395	397	8	0.8788	-0.000
395	407	8	0.877	-15.996
327	391	8	0.8839	-75.032
327	397	8	0.8456	-77.047
327	407	8	0.8894	-93.043
390	407	8	0.8982	-18.011
391	407	8	0.9304	-18.011
393	407	8	0.8936	-18.011
391	396	8	0.884	-2.015
391	397	8	0.8959	-2.015
417	480	8	0.8466	-53.048
396	442	8	0.8555	-49.982
417	442	8	0.7861	-20.026
417	479	8	0.7936	-53.048
390	393	8	0.8946	-0.000
393	396	8	0.9168	-2.015
390	397	8	0.8466	-2.016
390	396	8	0.9235	-2.016
262	294	10	0.8681	-42.048
262	297	10	0.8427	-42.053
262	309	10	0.8738	-60.057
262	310	10	0.7986	-60.057
268	295	10	0.7959	-42.048
268	310	10	0.7992	-60.057
11	16	10	0.9054	0.000
12	16	10	0.8648	-0.000
13	16	10	0.8858	0.000
14	16	10	0.8648	-0.000
15	16	10	0.8855	-0.000
16	18	10	0.9075	-0.000
16	259	10	0.8856	-169.147
16	281	10	0.8772	-187.157
16	294	10	0.9212	-211.195
16	299	10	0.8888	-212.198
16	309	10	0.8782	-229.204
11	281	10	0.855	-187.157
13	281	10	0.8709	-187.157
14	281	10	0.8474	-187.157
18	281	10	0.85	-187.157
259	281	10	0.9115	-18.011
281	294	10	0.8732	-24.038
281	297	10	0.8509	-24.043
281	299	10	0.8787	-25.040
281	309	10	0.8832	-42.047
11	17	10	0.87	0.000
12	17	10	0.8845	0.000
13	17	10	0.8948	0.000
14	17	10	0.8622	0.000
15	17	10	0.8988	0.000
11	15	10	0.9065	0.000
12	15	10	0.9001	-0.000
13	15	10	0.9146	0.000
14	15	10	0.8861	0.000
15	18	10	0.8636	-0.000
15	259	10	0.8732	-169.147
15	297	10	0.8463	-211.200
15	309	10	0.855	-229.204
12	13	10	0.8931	-0.000
12	14	10	0.8906	-0.000
11	309	10	0.8968	-229.204
18	309	10	0.8583	-229.204
259	309	10	0.9221	-60.058
294	309	10	0.9261	-18.009
297	309	10	0.8803	-18.004
299	309	10	0.904	-17.006
11	294	10	0.8566	-211.195
18	294	10	0.8855	-211.195
259	294	10	0.913	-42.049
294	297	10	0.8712	-0.005
294	299	10	0.9388	-1.002
11	259	10	0.9006	-169.147
13	259	10	0.8822	-169.147
18	259	10	0.8683	-169.147
259	297	10	0.8878	-42.054
259	299	10	0.8909	-43.051
11	297	10	0.8673	-211.200
297	299	10	0.8751	-0.997
295	299	10	0.844	-1.002
11	18	10	0.8827	-0.000
13	18	10	0.8679	0.000
14	18	10	0.8495	-0.000
18	299	10	0.8704	-212.198
11	13	10	0.8784	-0.000
13	14	10	0.9243	0.000
73	188	11	0.8579	-57.058
73	231	11	0.844	-128.059
185	188	11	0.846	-0.036
370	419	12	0.7728	-44.026
370	464	12	0.7542	-88.053
370	569	12	0.7627	-220.130
341	429	12	0.9253	-88.050
342	429	12	0.9205	-88.052
369	429	12	0.8823	-52.105
373	429	12	0.8664	-52.104
385	429	12	0.8997	-44.026
420	429	12	0.8709	-8.079
429	430	12	0.9111	0.000
429	431	12	0.8823	0.000
429	462	12	0.8618	-35.947
429	481	12	0.879	-44.034
335	337	12	0.8333	0.000
335	507	12	0.7889	-176.104
419	461	12	0.7772	-44.033
461	464	12	0.7769	0.006
461	508	12	0.7789	-44.021
341	430	12	0.9301	-88.050
342	430	12	0.9235	-88.051
369	430	12	0.8817	-52.105
373	430	12	0.882	-52.104
385	430	12	0.9209	-44.025
420	430	12	0.8804	-8.078
430	431	12	0.8834	-0.000
430	462	12	0.8706	-35.948
430	481	12	0.8834	-44.035
369	506	12	0.8564	-132.078
373	506	12	0.8634	-132.077
420	506	12	0.857	-88.052
462	506	12	0.8697	-44.026
481	506	12	0.85	-35.939
543	574	12	0.7985	-52.105
386	519	12	0.8463	-132.079
507	519	12	0.7835	-8.080
519	553	12	0.8624	-44.026
519	569	12	0.7685	-79.973
519	574	12	0.8853	-88.052
341	369	12	0.8964	-35.945
342	369	12	0.8876	-35.947
369	373	12	0.8707	-0.001
369	385	12	0.8845	-8.079
369	420	12	0.8983	-44.026
369	431	12	0.8743	-52.105
369	462	12	0.8806	-88.053
386	553	12	0.8353	-176.105
553	574	12	0.863	-44.026
342	478	12	0.8558	-130.062
386	478	12	0.8501	-86.036
431	478	12	0.879	-42.010
478	481	12	0.8668	-2.024
341	385	12	0.9183	-44.024
342	385	12	0.9202	-44.026
373	385	12	0.8821	-8.079
385	420	12	0.8879	-35.947
