USI1,USI2,SMILES1,SpectrumID,Compound_Name,CLUSTERID1,CLUSTERID2
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010135640,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:391,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CCMSLIB00010135640,Glycoursodeoxycholic acid,395,391
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010135640,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:397,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CCMSLIB00010135640,Glycoursodeoxycholic acid,395,397
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00013047420,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:391,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,CCMSLIB00013047420,cholic acid,327,391
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00013047420,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:397,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,CCMSLIB00013047420,cholic acid,327,397
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00010133706,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:391,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,CCMSLIB00010133706,Glycocholic acid,407,391
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005738045,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:391,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CCC4[C@@]3(CC[C@H](C4)O)C)O)C,CCMSLIB00005738045,"Massbank:RP005403 Glycodeoxycholic acid|2-[[(4R)-4-[(3R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic",396,391
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00005435514,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:397,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,CCMSLIB00005435514,glycocholic acid,390,397
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016349923,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:262,CCCCCCCCCCCCCCCCCCNCCSC,CCMSLIB00016349923,Methylthioethylamine_Octadecanal (known isomers: 0; isobaric peaks in run: 1),309,262
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016349923,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:16,CCCCCCCCCCCCCCCCCCNCCSC,CCMSLIB00016349923,Methylthioethylamine_Octadecanal (known isomers: 0; isobaric peaks in run: 1),309,16
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016349923,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:281,CCCCCCCCCCCCCCCCCCNCCSC,CCMSLIB00016349923,Methylthioethylamine_Octadecanal (known isomers: 0; isobaric peaks in run: 1),309,281
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016349923,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:15,CCCCCCCCCCCCCCCCCCNCCSC,CCMSLIB00016349923,Methylthioethylamine_Octadecanal (known isomers: 0; isobaric peaks in run: 1),309,15
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016349923,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:11,CCCCCCCCCCCCCCCCCCNCCSC,CCMSLIB00016349923,Methylthioethylamine_Octadecanal (known isomers: 0; isobaric peaks in run: 1),309,11
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016349923,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:18,CCCCCCCCCCCCCCCCCCNCCSC,CCMSLIB00016349923,Methylthioethylamine_Octadecanal (known isomers: 0; isobaric peaks in run: 1),309,18
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016349923,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:259,CCCCCCCCCCCCCCCCCCNCCSC,CCMSLIB00016349923,Methylthioethylamine_Octadecanal (known isomers: 0; isobaric peaks in run: 1),309,259
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016349923,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:294,CCCCCCCCCCCCCCCCCCNCCSC,CCMSLIB00016349923,Methylthioethylamine_Octadecanal (known isomers: 0; isobaric peaks in run: 1),309,294
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016349923,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:297,CCCCCCCCCCCCCCCCCCNCCSC,CCMSLIB00016349923,Methylthioethylamine_Octadecanal (known isomers: 0; isobaric peaks in run: 1),309,297
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00016349923,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:299,CCCCCCCCCCCCCCCCCCNCCSC,CCMSLIB00016349923,Methylthioethylamine_Octadecanal (known isomers: 0; isobaric peaks in run: 1),309,299
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00012315475,mzspec:GNPS2:TASK-5d7dd02dcfa04e059be6022795cd4a36-nf_output/clustering/specs_ms.mgf:scan:382,Cc1c(C(=O)Nc2ccc(-n3nc(C(F)(F)F)cc3C(F)(F)F)cc2)snn1,CCMSLIB00012315475,223499-30-7,353,382
