cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	RTMean
73	6	132.06501388549802	1	132.06501388549802	0.0	142.61633333333336
74	3	132.10912068684866	1	132.10912068684866	0.0	197.45466666666667
75	8	132.10740375518824	1	132.10740375518824	0.0	195.55375
76	40	132.10164549328044	1	132.1016454932805	0.0	193.24609999999998
77	19	132.10373512331475	1	132.10373512331475	0.0	197.04926315789473
78	17	132.1015798189394	1	132.1015798189394	0.0	194.27094117647056
79	26	132.10205178261742	1	132.10205178261742	0.0	190.64646153846152
80	3	132.107116699219	1	132.107116699219	0.0	194.50433333333334
81	12	132.10167401026175	1	132.10167401026175	0.0	192.53041666666664
82	7	132.10388546898244	1	132.10388546898244	0.0	192.40514285714286
83	3	132.107460021973	1	132.107460021973	0.0	194.33300000000003
84	44	132.1017115853052	1	132.10171158530522	0.0	226.81531818181827
85	14	132.1033651595727	1	132.1033651595727	0.0	210.89142857142855
86	32	132.10214981984996	1	132.10214981984996	0.0	255.094
87	39	132.10202080328463	1	132.10202080328463	0.0	241.5708205128205
88	2	132.10467529296898	1	132.10467529296898	0.0	198.52399999999997
89	2	136.0613327026365	1	136.0613327026365	0.0	199.1825
90	2	136.0613327026365	1	136.0613327026365	0.0	199.37399999999997
91	6	136.061462402344	1	136.061462402344	0.0	197.0128333333333
92	65	136.07557740822833	1	136.07557740822838	0.0	231.92623076923076
93	19	137.0455407929001	1	137.0455407929001	0.0	205.16336842105267
94	19	137.0455407929001	1	137.0455407929001	0.0	205.35463157894733
95	2	137.0462290445965	1	137.0462290445965	0.0	199.33200000000002
96	2	138.054718017578	1	138.054718017578	0.0	526.193
97	2	138.054718017578	1	138.054718017578	0.0	526.3845
98	22	138.0912107987836	1	138.0912107987836	0.0	203.51745454545454
99	22	138.0912107987836	1	138.0912107987836	0.0	203.70881818181817
100	14	141.95801439183614	1	141.95801439183614	0.0	352.6979285714286
101	82	141.9583138499684	1	141.9583138499683	0.0	340.3103414634146
102	61	141.95846906022737	1	141.95846906022734	0.0	319.75706557377055
103	34	141.95853395408975	1	141.95853395408972	0.0	321.01167647058816
104	48	141.95830058319459	1	141.9583005831945	0.0	319.70050000000003
105	32	141.95806602377542	1	141.9580660237754	0.0	366.8864375
106	32	141.95863363799432	1	141.95863363799427	0.0	336.1886875
107	22	141.95851267880843	1	141.95851267880838	0.0	336.3336363636363
108	6	144.065007527669	1	144.065007527669	0.0	227.20750000000004
109	6	144.065007527669	1	144.065007527669	0.0	227.39883333333333
110	34	145.07574343213855	1	145.07574343213858	0.0	490.9916176470588
111	10	146.0601127624513	1	146.0601127624513	0.0	447.48490000000004
112	2	146.0596618652345	1	146.0596618652345	0.0	446.372
113	22	146.09184820001772	1	146.09184820001772	0.0	154.86040909090906
114	2	146.091888427734	1	146.091888427734	0.0	154.2435
115	80	146.16537475585938	1	146.16537475585938	0.0	119.8717125
116	46	149.05947146208402	1	149.05947146208402	0.0	281.90676086956523
117	41	150.0579193859567	1	150.05791938595672	0.0	167.87600000000003
118	5	150.059661865234	1	150.059661865234	0.0	163.932
119	67	151.03532455216583	1	151.03532455216583	0.0	118.3174776119403
120	67	151.03532455216583	1	151.03532455216583	0.0	118.50885074626864
121	3	152.056106567383	1	152.056106567383	0.0	155.882
122	2	152.056079864502	1	152.056079864502	0.0	156.14449999999997
123	42	152.0564749581476	1	152.05647495814765	0.0	225.30123809523806
124	10	153.04160766601564	1	153.04160766601564	0.0	205.1561
125	52	155.08105675490572	1	155.08105675490577	0.0	211.82528846153846
126	19	155.0833049573394	1	155.0833049573394	0.0	209.81336842105264
127	51	155.081056064085	1	155.08105606408506	0.0	211.7145882352941
128	18	155.0833025331848	1	155.0833025331848	0.0	209.45883333333333
129	25	155.08114071932692	1	155.08114071932695	0.0	240.67736
130	26	155.0811431487585	1	155.0811431487585	0.0	240.34673076923076
131	4	156.101715087891	1	156.101715087891	0.0	464.50925
132	54	157.09686787923195	1	157.09686787923195	0.0	254.81281481481483
133	110	158.09211231578476	1	158.09211231578485	0.0	170.0876181818182
134	4	158.099472045898	1	158.099472045898	0.0	458.3
135	58	158.96109798036767	1	158.96109798036758	0.0	296.790724137931
136	3	158.963729858398	1	158.963729858398	0.0	130.92233333333334
137	54	160.07571354618764	1	160.07571354618761	0.0	225.5860185185185
138	6	160.13258361816403	1	160.13258361816403	0.0	147.7841666666667
139	6	160.180470784505	1	160.180470784505	0.0	117.92533333333334
140	26	165.0542714045599	1	165.0542714045599	0.0	207.75169230769237
141	27	165.05434445981635	1	165.05434445981635	0.0	208.0584444444444
142	6	166.08612504182034	1	166.08612504182034	0.0	271.60999999999996
143	11	166.08625664759145	1	166.08625664759145	0.0	272.5967272727273
144	17	166.09184983197395	1	166.09184983197395	0.0	284.1687058823529
145	94	166.08608404946986	1	166.08608404946986	0.0	306.9086382978723
146	27	166.08843711570438	1	166.08843711570444	0.0	290.46244444444443
147	17	166.09184983197395	1	166.09184983197395	0.0	284.3601764705882
148	89	166.0860952152835	1	166.0860952152835	0.0	308.28124719101123
149	26	166.08844356047783	1	166.08844356047786	0.0	291.33107692307686
150	13	169.0757857102615	1	169.0757857102615	0.0	455.03100000000006
151	54	169.09681136519805	1	169.09681136519808	0.0	259.75405555555557
152	3	170.118057250977	1	170.118057250977	0.0	499.8176666666667
153	3	170.118057250977	1	170.118057250977	0.0	500.00899999999996
154	6	173.09155782063797	1	173.09155782063797	0.0	151.21866666666668
155	9	174.05426025390597	1	174.05426025390597	0.0	211.21911111111112
156	2	174.054270426432	1	174.054270426432	0.0	209.6095
157	3	174.112360636393	1	174.112360636393	0.0	465.2863333333333
158	2	174.112360636393	1	174.112360636393	0.0	464.02900000000005
159	12	175.1085001627605	1	175.1085001627605	0.0	194.58700000000002
160	34	175.1184046128218	1	175.1184046128218	0.0	141.68238235294118
161	11	176.1277340975671	1	176.12773409756707	0.0	415.19336363636364
162	2	180.104133605957	1	180.104133605957	0.0	469.65250000000003
163	2	180.104133605957	1	180.104133605957	0.0	469.844
164	70	182.0811017717634	1	182.08110177176334	0.0	206.8167857142857
165	37	182.96271659232488	1	182.96271659232494	0.0	114.41654054054055
166	37	182.96271659232488	1	182.96271659232494	0.0	114.60802702702702
167	14	183.0916442871093	1	183.0916442871093	0.0	463.43099999999987
168	2	183.091320037842	1	183.091320037842	0.0	465.69149999999996
169	3	183.0912551879883	1	183.0912551879883	0.0	465.4806666666666
170	4	183.164527893066	1	183.164527893066	0.0	156.20775
171	9	185.09266323513455	1	185.09266323513452	0.0	196.83800000000002
172	2	185.0914306640625	1	185.0914306640625	0.0	197.736
173	4	185.0914878845215	1	185.0914878845215	0.0	199.2555
174	71	185.11024239994893	1	185.11024239994893	0.0	18.038840375586858
175	66	185.11035010727844	1	185.11035010727846	0.0	18.060037878787877
176	81	185.11062848703858	1	185.11062848703864	0.0	35.47375925925927
177	85	185.11039915192455	1	185.11039915192453	0.0	18.83466862745098
178	143	185.1102536002812	1	185.1102536002808	0.0	21.575280885780884
179	143	185.11031272374493	1	185.11031272374464	0.0	30.965924242424244
180	76	186.22164751114994	1	186.22164751114988	0.0	531.4478815789474
181	35	188.0705655779157	1	188.07056557791572	0.0	436.4887428571428
182	3	188.128514607747	1	188.128514607747	0.0	498.3333333333333
183	3	188.128514607747	1	188.128514607747	0.0	498.5243333333334
184	26	189.08671358548685	1	189.08671358548688	0.0	267.41457692307694
185	26	189.08642055804918	1	189.0864205580492	0.0	268.3790769230769
186	2	189.0876655578615	1	189.0876655578615	0.0	266.8145
187	40	189.12346204121928	1	189.12346204121928	0.0	295.02385
188	6	189.12272516886415	1	189.12272516886415	0.0	276.4005
189	3	195.061655680339	1	195.061655680339	0.0	489.7583333333333
190	48	195.11223411560067	1	195.11223411560061	0.0	386.9902291666667
191	89	198.9402171359974	1	198.9402171359974	0.0	115.63405617977529
192	37	202.18009818137207	1	202.18009818137202	0.0	154.17367567567572
193	30	203.2228698730469	1	203.2228698730469	0.0	119.56576666666668
194	35	205.09711172921328	1	205.09711172921325	0.0	436.31391428571436
195	63	211.10782490079367	1	211.10782490079382	0.0	247.78065079365075
196	68	211.144157110476	1	211.14415711047593	0.0	472.3526176470588
197	2	212.102447509766	1	212.102447509766	0.0	200.5
198	72	214.91772842407218	1	214.9177284240722	0.0	118.84076388888889
199	18	215.139483981662	1	215.139483981662	0.0	204.31794444444444
200	3	216.097147623698	1	216.097147623698	0.0	192.925
201	18	217.15511915418836	1	217.1551191541884	0.0	236.81222222222223
202	3	220.11821831597203	1	220.11821831597203	0.0	338.37199999999996
203	42	221.0913550967263	1	221.0913550967264	0.0	225.26066666666665
204	6	222.1123046875	1	222.1123046875	0.0	514.8558333333334
205	8	223.1081314086915	1	223.10813140869152	0.0	419.688375
206	94	223.98925586456957	1	223.9892558645696	0.0	115.76815957446804
207	33	226.1542236636382	1	226.15422366363825	0.0	183.5330909090909
208	3	226.95100402832	1	226.95100402832	0.0	129.30933333333334
209	3	226.982828776042	1	226.982828776042	0.0	515.2743333333333
210	48	227.10184605916325	1	227.10184605916334	0.0	279.20725000000004
211	60	227.13888219197605	1	227.13888219197594	0.0	452.0570666666667
212	10	227.1418431599935	1	227.14184315999356	0.0	450.81980000000004
213	6	229.11766967773403	1	229.11766967773403	0.0	146.13433333333336
214	3	229.11766967773397	1	229.11766967773397	0.0	424.6813333333334
215	68	229.1548730151144	1	229.15487301511462	0.0	361.1154411764706
216	4	230.11259460449202	1	230.11259460449202	0.0	202.46574999999999
217	72	230.24859534369565	1	230.24859534369574	0.0	573.9006527777779
218	16	231.17056337992335	1	231.17056337992332	0.0	362.33381249999996
219	40	235.1182144165037	1	235.1182144165038	0.0	156.54754999999997
220	55	237.0864495942087	1	237.08644959420866	0.0	213.09707272727272
221	2	237.0879249572755	1	237.0879249572755	0.0	220.93449999999999
222	2	237.088798522949	1	237.088798522949	0.0	212.63250000000002
223	72	239.96679306030273	1	239.96679306030273	0.0	116.10633333333334
224	23	243.13431482729698	1	243.13431482729698	0.0	467.3270869565218
225	60	245.1282760620116	1	245.1282760620116	0.0	481.3190499999999
226	25	245.14966349283853	1	245.14966349283856	0.0	208.88336
227	16	247.12796824319014	1	247.12796824319008	0.0	390.386375
228	50	254.16113220214834	1	254.16113220214828	0.0	198.49868
229	5	256.1742004394534	1	256.1742004394534	0.0	365.5144
230	72	258.2798724704319	1	258.27987247043166	0.0	635.4303888888888
231	4	260.123764038086	1	260.123764038086	0.0	415.05575000000005
232	10	260.19682617187516	1	260.19682617187516	0.0	192.23289999999997
233	35	261.1228884742373	1	261.12288847423724	0.0	458.6868857142857
234	26	261.1234490810296	1	261.12344908102955	0.0	468.13492307692303
235	5	261.12654215494786	1	261.12654215494786	0.0	458.8058
236	2	263.13856506347645	1	263.13856506347645	0.0	437.218
237	5	263.13994750976565	1	263.13994750976565	0.0	436.52619999999996
238	72	265.01574283175995	1	265.0157428317599	0.0	118.53854166666666
239	42	268.10450526646224	1	268.1045052664622	0.0	196.7371666666667
240	2	268.138824462891	1	268.138824462891	0.0	198.251
241	3	268.139572143555	1	268.139572143555	0.0	189.65833333333333
242	16	269.08759307861317	1	269.0875930786131	0.0	216.8261875
243	6	270.14387003580737	1	270.14387003580737	0.0	194.33499999999998
244	3	270.19151814778667	1	270.19151814778667	0.0	400.2776666666667
245	3	273.187754313151	1	273.187754313151	0.0	200.1283333333333
246	2	273.187754313151	1	273.187754313151	0.0	200.9355
247	28	274.1761561802455	1	274.1761561802456	0.0	358.75403571428575
248	70	274.274761672247	1	274.274761672247	0.0	540.9966857142857
249	36	279.13316345214895	1	279.1331634521489	0.0	360.77483333333333
250	2	279.133605957031	1	279.133605957031	0.0	435.77049999999997
251	2	281.112335205078	1	281.112335205078	0.0	436.88249999999994
252	3	282.118576049805	1	282.118576049805	0.0	234.60133333333334
253	3	282.118576049805	1	282.118576049805	0.0	234.79233333333335
254	12	282.11890411376953	1	282.11890411376953	0.0	262.04966666666667
255	17	283.1754976160386	1	283.1754976160387	0.0	421.02541176470584
256	30	284.09883422851556	1	284.0988342285156	0.0	220.99249999999998
257	6	286.138763427734	1	286.138763427734	0.0	150.44466666666668
258	36	286.1751607259116	1	286.1751607259116	0.0	392.76475
259	1520	286.2202131283636	1	286.2202131283618	0.0	607.3163708333334
260	2	286.21957861858846	1	286.21957861858846	0.0	699.0755
261	2	286.219560706097	1	286.219560706097	0.0	714.937
262	4	286.21967438080526	1	286.21967438080526	0.0	554.5239999999999
263	2	286.2196004649135	1	286.2196004649135	0.0	706.3009999999999
264	2	286.21961245329453	1	286.21961245329453	0.0	689.874
265	4	286.21965715509924	1	286.21965715509924	0.0	704.9100000000001
266	2	286.219603165336	1	286.219603165336	0.0	710.3444999999999
267	2	286.219673488451	1	286.219673488451	0.0	668.428
268	2	286.219649605129	1	286.219649605129	0.0	689.4860000000001
269	6	287.122741699219	1	287.122741699219	0.0	226.42549999999997
270	2	288.117767333984	1	288.117767333984	0.0	193.75750000000002
271	38	290.13376496967527	1	290.13376496967516	0.0	229.43260526315788
272	61	291.2535412064016	1	291.2535412064017	0.0	835.4492950819672
273	6	295.020385742188	1	295.020385742188	0.0	513.1003333333333
274	98	298.2555847167968	1	298.2555847167967	0.0	929.7476530612245
275	13	300.20197237454937	1	300.20197237454937	0.0	420.2227692307692
276	8	300.2023963928224	1	300.2023963928224	0.0	421.43350000000004
277	2	300.217569986979	1	300.217569986979	0.0	727.155
278	4	302.170013427734	1	302.170013427734	0.0	207.74300000000002
279	60	302.2869415283204	1	302.28694152832026	0.0	19.85113055555556
280	5	304.212707519531	1	304.212707519531	0.0	577.9986
281	880	304.23011188347436	1	304.23011188347454	0.0	554.2173049242425
282	84	304.3010493687222	1	304.30104936872226	0.0	643.3325119047619
283	4	305.304153442383	1	305.304153442383	0.0	646.0695
284	12	307.18506876627595	1	307.185068766276	0.0	363.33183333333335
285	66	308.2802031545929	1	308.2802031545928	0.0	836.0166515151516
286	36	311.1750030517578	1	311.17500305175776	0.0	499.0219166666667
287	2	312.154205322266	1	312.154205322266	0.0	194.2035
288	2	312.154296875	1	312.154296875	0.0	193.529
289	9	316.2120344373913	1	316.2120344373913	0.0	431.06044444444444
290	23	317.1809365092843	1	317.1809365092843	0.0	254.19069565217393
291	15	318.12916259765643	1	318.1291625976564	0.0	413.8184
292	4	320.159744262695	1	320.159744262695	0.0	445.23749999999995
293	8	327.2010726928713	1	327.2010726928713	0.0	431.75525
294	1956	328.26929716805745	1	328.2692971680568	0.0	558.3458087934561
295	2	328.268135541751	1	328.268135541751	0.0	520.286
296	2	328.268290259786	1	328.268290259786	0.0	509.34749999999997
297	2	328.2708063895385	1	328.2708063895385	0.0	535.1745
298	2	329.181060791016	1	329.181060791016	0.0	208.39849999999998
299	640	329.27061824798574	1	329.2706182479878	0.0	473.0569721354167
300	30	331.1973124186198	1	331.1973124186198	0.0	285.91713333333337
301	72	332.3313496907554	1	332.3313496907551	0.0	709.5763333333332
302	14	332.3370012555806	1	332.3370012555806	0.0	718.1759999999999
303	6	333.335652669271	1	333.335652669271	0.0	713.0939999999999
304	71	335.28032759545556	1	335.2803275954555	0.0	828.3847887323943
305	6	336.15453084309905	1	336.15453084309905	0.0	389.44533333333334
306	2	343.196228027344	1	343.196228027344	0.0	276.5815
307	44	344.22773950750184	1	344.22773950750184	0.0	432.1523409090909
308	2	345.248825073242	1	345.248825073242	0.0	486.85999999999996
309	1085	346.27714913286155	1	346.2771491328648	0.0	619.743587250384
310	2	346.277022251636	1	346.277022251636	0.0	760.0894999999999
311	4	351.21145629882847	1	351.21145629882847	0.0	421.747
312	72	352.307147555881	1	352.3071475558808	0.0	827.0774722222224
313	50	355.2635171508788	1	355.2635171508788	0.0	618.73084
314	4	355.263631184896	1	355.263631184896	0.0	618.8172500000001
315	2	357.211395263672	1	357.211395263672	0.0	393.64900000000006
316	61	358.24085823434297	1	358.24085823434297	0.0	614.2833278688523
317	43	358.240930601608	1	358.2409306016081	0.0	608.6682325581395
318	84	359.19211687360485	1	359.19211687360485	0.0	263.98740476190477
319	16	359.28984451293974	1	359.2898445129398	0.0	837.9795625000002
320	38	360.36265965511905	1	360.36265965511893	0.0	787.094947368421
321	6	362.92556762695307	1	362.92556762695307	0.0	134.6308333333333
322	5	370.295084635417	1	370.295084635417	0.0	961.8628000000001
323	6	371.154459635417	1	371.154459635417	0.0	221.4526666666667
324	7	371.2268502371653	1	371.2268502371653	0.0	440.80800000000005
325	13	371.22789353590775	1	371.22789353590775	0.0	439.20430769230774
326	4	371.22793579101597	1	371.22793579101597	0.0	423.0465
327	25	373.2747123209634	1	373.27471232096343	0.0	616.4917600000001
328	9	373.27376641167507	1	373.27376641167507	0.0	617.4266666666667
329	68	379.3061900419347	1	379.30619004193477	0.0	820.8349411764706
330	2	383.228668212891	1	383.228668212891	0.0	424.405
331	10	385.2446411132811	1	385.2446411132811	0.0	446.0136
332	56	388.25452232360834	1	388.2545223236087	0.0	439.0889285714286
333	52	392.1803471491887	1	392.1803471491888	0.0	278.82992307692314
334	6	393.176005045573	1	393.176005045573	0.0	415.64466666666675
335	5	393.2086181640624	1	393.2086181640624	0.0	438.8108
336	8	393.20854759216286	1	393.20854759216286	0.0	438.59787500000004
337	3	393.208511352539	1	393.208511352539	0.0	439.8913333333333
338	4	395.2379913330075	1	395.2379913330075	0.0	432.99225
339	72	396.33476003011066	1	396.3347600301106	0.0	818.497375
340	6	398.326232910156	1	398.326232910156	0.0	17.934250000000002
341	20	401.2895843505861	1	401.2895843505861	0.0	819.3913
342	3	401.289476182726	1	401.289476182726	0.0	821.2456666666666
343	2	401.29032389322947	1	401.29032389322947	0.0	821.8634999999999
344	9	403.31761112919565	1	403.3176111291957	0.0	828.3366666666666
345	3	407.21237182617205	1	407.21237182617205	0.0	355.1233333333333
346	2	413.348892211914	1	413.348892211914	0.0	635.8209999999999
347	27	414.23333740234364	1	414.23333740234364	0.0	384.3458148148148
348	8	415.21086120605503	1	415.21086120605503	0.0	731.0982499999999
349	23	415.2538370325947	1	415.2538370325947	0.0	445.0432608695652
350	2	415.252705891927	1	415.252705891927	0.0	435.26699999999994
351	6	416.336588541667	1	416.336588541667	0.0	17.21930555555555
352	4	417.203094482422	1	417.203094482422	0.0	419.83475
353	12	419.2288258870445	1	419.2288258870445	0.0	458.2525833333333
354	66	423.3326147830846	1	423.33261478308486	0.0	813.9292878787878
355	6	426.233032226563	1	426.233032226563	0.0	402.3528333333333
356	28	426.3215767996653	1	426.32157679966537	0.0	617.7226785714286
357	11	426.32111150568176	1	426.32111150568176	0.0	617.1342727272727
358	8	427.2289123535155	1	427.2289123535156	0.0	409.67324999999994
359	24	428.25024668375653	1	428.2502466837566	0.0	424.3963333333333
360	32	430.2294769287109	1	430.22947692871077	0.0	415.1448125
361	23	430.24343695156836	1	430.24343695156824	0.0	471.1918260869566
362	24	430.2434255811904	1	430.2434255811904	0.0	471.4784166666667
363	2	430.29499816894497	1	430.29499816894497	0.0	551.4334999999999
364	6	430.91259765625	1	430.91259765625	0.0	132.76016666666666
365	12	431.20654296875006	1	431.20654296875006	0.0	535.9885
366	4	431.248886108398	1	431.248886108398	0.0	414.62299999999993
367	67	432.2811311180911	1	432.281131118091	0.0	444.5867462686567
368	4	433.24365234375	1	433.24365234375	0.0	467.07125
369	2	437.2343114217125	1	437.2343114217125	0.0	444.04150000000004
370	2	437.2343114217125	1	437.2343114217125	0.0	443.3295
371	2	437.23461151123047	1	437.23461151123047	0.0	444.85
372	2	437.2373962402345	1	437.2373962402345	0.0	445.51800000000003
373	2	437.234954833984	1	437.234954833984	0.0	444.375
374	8	439.2664794921877	1	439.2664794921876	0.0	439.890875
375	10	440.21534423828115	1	440.21534423828115	0.0	428.6176
376	2	440.242980957031	1	440.242980957031	0.0	409.06999999999994
377	34	440.25015976849716	1	440.25015976849727	0.0	428.90688235294124
378	38	440.3609686065138	1	440.36096860651395	0.0	810.439210526316
379	35	440.3610275995164	1	440.3610275995165	0.0	810.6773142857143
380	26	440.4112114539514	1	440.4112114539514	0.0	729.6008076923077
381	26	440.4112114539514	1	440.4112114539514	0.0	729.7926153846154
382	4	442.263656616211	1	442.263656616211	0.0	431.772
383	78	444.2885468311797	1	444.2885468311794	0.0	608.9857307692307
384	74	444.29777155695734	1	444.29777155695774	0.0	736.4879054054055
385	17	445.314494413488	1	445.3144944134879	0.0	811.8575294117647
386	14	445.31363278343554	1	445.3136327834355	0.0	814.4527142857143
387	2	446.186462402344	1	446.186462402344	0.0	193.79799999999997
388	42	446.22302100771947	1	446.2230210077191	0.0	348.53571428571433
389	11	447.3449577562735	1	447.3449577562735	0.0	820.368
390	15	448.3059305826824	1	448.3059305826824	0.0	551.8563333333333
391	22	448.3066239790482	1	448.3066239790482	0.0	551.9570454545457
392	2	448.305887858073	1	448.305887858073	0.0	549.8354999999999
393	2	448.30598449706997	1	448.30598449706997	0.0	552.5755
394	12	449.20156860351557	1	449.20156860351557	0.0	280.7789166666667
395	23	450.3221333821615	1	450.3221333821615	0.0	638.3875217391305
396	10	450.3215810139973	1	450.3215810139974	0.0	638.7507
397	2	450.3245951334635	1	450.3245951334635	0.0	638.2900000000001
398	2	450.3245951334635	1	450.3245951334635	0.0	639.3295
399	2	452.276545206706	1	452.276545206706	0.0	683.7209999999999
400	2	452.276545206706	1	452.276545206706	0.0	702.319
401	2	453.718322753906	1	453.718322753906	0.0	405.6449999999999
402	4	456.24716186523455	1	456.24716186523455	0.0	424.19599999999997
403	11	458.261513449929	1	458.261513449929	0.0	425.8527272727273
404	3	458.261983235677	1	458.261983235677	0.0	428.72200000000004
405	11	459.279890580611	1	459.279890580611	0.0	449.86345454545454
406	9	460.2406446668835	1	460.2406446668835	0.0	417.4887777777778
407	30	466.3173789130317	1	466.3173789130318	0.0	549.8276999999999
408	29	466.31719830392416	1	466.3171983039243	0.0	549.541379310345
409	2	467.300354003906	1	467.300354003906	0.0	471.6859999999999
410	39	467.3579054612381	1	467.357905461238	0.0	807.237512820513
411	26	470.3318317119893	1	470.3318317119893	0.0	655.0192307692307
412	2	472.275054931641	1	472.275054931641	0.0	438.169
413	2	472.275054931641	1	472.275054931641	0.0	438.36049999999994
414	64	476.3078702290852	1	476.30787022908555	0.0	449.047125
415	3	476.306193033854	1	476.306193033854	0.0	452.55500000000006
416	47	477.3329037064355	1	477.33290370643545	0.0	618.179
417	3	480.27746582031233	1	480.27746582031233	0.0	606.7813333333332
418	4	480.2775650024415	1	480.2775650024415	0.0	602.93275
419	23	481.26133219401055	1	481.2613321940106	0.0	449.11626086956517
420	3	481.2628343370227	1	481.2628343370227	0.0	449.12766666666664
421	35	482.36810796828496	1	482.36810796828485	0.0	889.7721714285713
422	13	482.36811319986987	1	482.36811319986987	0.0	889.7424615384612
423	8	483.04963684082077	1	483.04963684082077	0.0	282.85825
424	66	483.25013501716387	1	483.25013501716387	0.0	728.6979393939394
425	20	483.2914672851563	1	483.29146728515633	0.0	445.60234999999994
